"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CXCL14",3.92867700520793e-234,3.20590386192883,1,0.952,8.30090164430383e-230
"RAB11FIP1",5.83584944853897e-224,-1.91707873505276,0.95,0.999,1.2330566299818e-219
"CSTA",2.64297396012721e-222,-2.67472388239955,0.723,0.999,5.58433968035277e-218
"S100A11",7.94869325133493e-221,0.896323007953347,1,1,1.67947939707456e-216
"ZNF703",2.57163589721432e-219,-1.42751039138713,1,1,5.43360948722413e-215
"RPL8",7.11145092546027e-219,0.881210777645618,1,1,1.5025784660405e-214
"RPLP1",8.0941818377541e-218,0.748762254026626,1,1,1.71021968049906e-213
"SPAG6",4.3615079742356e-217,1.40297707944706,0.83,0.113,9.2154301987624e-213
"COX6C",4.04176584779001e-216,-1.86624647160797,1,1,8.53984705979552e-212
"H2AFJ",4.45396054522979e-215,-1.65514162902011,0.996,1,9.41077323601602e-211
"CCND1",1.60841232703389e-212,1.51979033534986,1,1,3.3984144057899e-208
"DEGS2",1.66603983512229e-207,1.38638808154942,1,0.979,3.52017556762988e-203
"GNG5",1.03037270091478e-205,1.46818566677,1,0.991,2.17707447976284e-201
"ERLIN2",1.71277828062027e-205,-1.73509459167381,0.83,0.999,3.61892922912256e-201
"BAMBI",2.55586945190643e-204,-1.47529556350597,1,1,5.40029656493309e-200
"BMERB1",9.72928894991447e-204,1.47849065657394,0.918,0.238,2.05570146222743e-199
"KRT18",3.28377259254765e-203,0.833768888601156,1,1,6.93828311079394e-199
"S100G",3.58292632628245e-203,-2.8438735248535,0.587,0.995,7.5703650348022e-199
"CRABP2",7.31019084958695e-203,-1.03979322127388,1,1,1.54457022460923e-198
"TFF3",3.88060872654678e-200,-1.83156938384123,1,1,8.19933817832069e-196
"KRT8",5.85629901738955e-198,0.962812181459561,1,1,1.23737741938424e-193
"RPS27",8.49287670592107e-198,0.648782532393229,1,1,1.79445991919406e-193
"UGCG",1.76169769481449e-194,-1.82562138580037,0.799,0.996,3.72229105937354e-190
"IER3",1.57072676599275e-193,-1.66816778799278,0.941,0.998,3.31878858386607e-189
"RPSA",4.43743092666837e-193,0.675485265611081,1,1,9.37584780495761e-189
"SH3BGRL",6.1725376743098e-193,1.60384019460108,0.985,0.59,1.30419548520492e-188
"RPS14",9.50157779350992e-193,0.64297301786256,1,1,2.00758837199071e-188
"TTLL12",5.9505449598949e-192,2.0867170375978,0.996,0.88,1.25729064457619e-187
"PRKACB",2.49721271810095e-191,1.64540213148404,0.973,0.497,5.2763607520755e-187
"BRINP3",4.24023700947153e-188,1.13372818991943,0.79,0.118,8.95919677731239e-184
"DDR1",1.80628668798861e-187,-1.2434138647843,0.994,1,3.81650314305114e-183
"CRAT",1.43847700442259e-186,1.58140775466245,0.979,0.566,3.03935806264448e-182
"AGR2",3.98054226146455e-185,1.45052389126347,1,0.999,8.41048774424845e-181
"DEGS1",2.32955492805142e-184,1.72743875885064,1,0.937,4.92211660747984e-180
"FCGRT",2.40964224850377e-183,-1.62726212533719,0.797,0.997,5.09133310686362e-179
"AQP3",6.25502861024432e-182,1.2341753748839,1,0.979,1.32162499505852e-177
